id,atom_id,atom_type,charge
d113,d113_13,o,40
d113,d113_14,o,40
d113,d113_15,o,40
d113,d113_16,o,40
d113,d113_17,h,1
d113,d113_18,h,1
d114,d114_1,c,22
d114,d114_2,c,22
d114,d114_3,c,22
d114,d114_4,c,29
d114,d114_5,c,22
d114,d114_6,c,22
d114,d114_7,h,3
d114,d114_8,h,3
d114,d114_9,h,3
d114,d114_10,h,3
d114,d114_11,c,29
d114,d114_12,c,22
d114,d114_13,c,22
d114,d114_14,c,22
d114,d114_15,c,22
d114,d114_16,c,22
d114,d114_17,h,3
d114,d114_18,h,3
d114,d114_19,h,3
d114,d114_20,h,3
d114,d114_21,n,32
d114,d114_22,n,38
d114,d114_23,o,40
d114,d114_24,o,40
d114,d114_25,h,1
d114,d114_26,h,1
d116,d116_1,c,22
d116,d116_2,c,22
d116,d116_3,c,22
d116,d116_4,c,22
d116,d116_5,c,22
d116,d116_6,c,22
d116,d116_7,h,3
d116,d116_8,h,3
d116,d116_9,h,3
d116,d116_10,h,3
d116,d116_11,n,38
d116,d116_12,f,92
d116,d116_13,o,40
d116,d116_14,o,40
d117,d117_1,c,22
d117,d117_2,c,22
d117,d117_3,c,22
d117,d117_4,c,29
d117,d117_5,c,22
d117,d117_6,c,22
d117,d117_7,h,3
d117,d117_8,h,3
d117,d117_9,h,3
d117,d117_10,h,3
d117,d117_11,c,29
d117,d117_12,c,22
d117,d117_13,c,22
d117,d117_14,c,22
d117,d117_15,c,22
d117,d117_16,c,22
d117,d117_17,h,3
d117,d117_18,h,3
d117,d117_19,h,3
d117,d117_20,n,38
d117,d117_21,n,38
d117,d117_22,n,38
d117,d117_23,o,40
d117,d117_24,o,40
d117,d117_25,o,40
d117,d117_26,o,40
d117,d117_27,o,40
d117,d117_28,o,40
d118,d118_1,c,10
d118,d118_2,c,10
d118,d118_3,c,22
d118,d118_4,c,22
d118,d118_5,c,10
d118,d118_6,c,10
d118,d118_7,c,22
d118,d118_8,c,27
d118,d118_9,c,27
d118,d118_10,c,27
d118,d118_11,c,22
d118,d118_12,c,22
d118,d118_13,c,27
d118,d118_14,c,27
d118,d118_15,c,27
d118,d118_16,c,22
d118,d118_17,c,22
d118,d118_18,c,22
d118,d118_19,c,22
d118,d118_20,c,22
d118,d118_21,n,38
d118,d118_22,o,40
d118,d118_23,o,40
d118,d118_24,h,3
d118,d118_25,h,3
d118,d118_26,h,3
d118,d118_27,h,3
d118,d118_28,h,3
d118,d118_29,h,3
d118,d118_30,h,3
d118,d118_31,h,3
d118,d118_32,h,3
d118,d118_33,h,3
d118,d118_34,h,3
d118,d118_35,h,3
d118,d118_36,h,3
d118,d118_37,h,3
d118,d118_38,h,3
d119,d119_1,c,22
d119,d119_2,c,22
d119,d119_3,c,22
d119,d119_4,c,29
d119,d119_5,c,22
d119,d119_6,c,22
d119,d119_7,h,3
d119,d119_8,h,3
d119,d119_9,h,3
d119,d119_10,h,3
d119,d119_11,c,29
d119,d119_12,c,22
d119,d119_13,c,22
d119,d119_14,c,22
d119,d119_15,c,22
d119,d119_16,c,22
d119,d119_17,h,3
d119,d119_18,h,3
d119,d119_19,h,3
d119,d119_20,n,38
d119,d119_21,n,38
d119,d119_22,n,38
d119,d119_23,o,40
d119,d119_24,o,40
d119,d119_25,o,40
d119,d119_26,o,40
d119,d119_27,o,40
d119,d119_28,o,40
d12,d12_1,c,22
d12,d12_2,c,22
d12,d12_3,c,27
d12,d12_4,c,27
d12,d12_5,c,27
d12,d12_6,c,22
d12,d12_7,h,3
d12,d12_8,h,3
d12,d12_9,c,27
d12,d12_10,c,27
d12,d12_11,c,22
d12,d12_12,c,22
d12,d12_13,h,3
d12,d12_14,h,3
d12,d12_15,c,22
d12,d12_16,c,22
d12,d12_17,c,27
d12,d12_18,h,3
d12,d12_19,h,3
d12,d12_20,c,22
d12,d12_21,c,22
d12,d12_22,c,22
d12,d12_23,h,3
d12,d12_24,h,3
d12,d12_25,n,38
d12,d12_26,o,40
d12,d12_27,o,40
d12,d12_28,n,32
d12,d12_29,h,1
d12,d12_30,h,1
d121,d121_1,c,22
d121,d121_2,c,22
d121,d121_3,c,27
d121,d121_4,c,27
d121,d121_5,c,28
d121,d121_6,c,22
d121,d121_7,h,3
d121,d121_8,h,3
d121,d121_9,c,22
d121,d121_10,c,22
d121,d121_11,c,22
d121,d121_12,c,29
d121,d121_13,h,3
d121,d121_14,c,28
d121,d121_15,c,28
d121,d121_16,c,22
d121,d121_17,c,22
d121,d121_18,c,22
d121,d121_19,c,22
d121,d121_20,h,3
d121,d121_21,h,3
d121,d121_22,h,3
d121,d121_23,h,3
d121,d121_24,n,38
d121,d121_25,n,38
d121,d121_26,n,38
d121,d121_27,o,40
d121,d121_28,o,40
d121,d121_29,o,40
d121,d121_30,o,40
d121,d121_31,o,40
d121,d121_32,o,40
d122,d122_1,c,22
d122,d122_2,c,22
d122,d122_3,c,27
d122,d122_4,c,27
d122,d122_5,c,22
d122,d122_6,c,22
d122,d122_7,h,3
d122,d122_8,h,3
d122,d122_9,h,3
d122,d122_10,h,3
d122,d122_11,c,22
d122,d122_12,c,22
d122,d122_13,c,195
d122,d122_14,c,195
d122,d122_15,h,3
d122,d122_16,c,27
d122,d122_17,c,27
d122,d122_18,c,22
d122,d122_19,c,22
d122,d122_20,h,3
d122,d122_21,h,3
d122,d122_22,c,22
d122,d122_23,c,22
d122,d122_24,c,22
d122,d122_25,c,22
d122,d122_26,h,3
d122,d122_27,h,3
d122,d122_28,h,3
d122,d122_29,h,3
d122,d122_30,n,38
d122,d122_31,o,40
d122,d122_32,o,40
d124,d124_1,c,22
d124,d124_2,c,22
d124,d124_3,c,22
d124,d124_4,c,22
d124,d124_5,c,22
d124,d124_6,c,22
d124,d124_7,h,3
d124,d124_8,h,3
d124,d124_9,h,3
d124,d124_10,n,38
d124,d124_11,f,92
d124,d124_12,f,92
d124,d124_13,o,40
d124,d124_14,o,40
d125,d125_1,c,22
d125,d125_2,c,22
d125,d125_3,c,22
d125,d125_4,c,195
d125,d125_5,c,195
d125,d125_6,c,22
d125,d125_7,c,10
d125,d125_8,c,10
d125,d125_9,c,22
d125,d125_10,c,27
d125,d125_11,c,27
d125,d125_12,c,22
d125,d125_13,c,22
d125,d125_14,c,22
d125,d125_15,c,22
d125,d125_16,c,22
d125,d125_17,n,38
d125,d125_18,h,3
d125,d125_19,h,3
d125,d125_20,h,3
d125,d125_21,h,3
d125,d125_22,h,3
d125,d125_23,h,3
d125,d125_24,h,3
d125,d125_25,h,3
d125,d125_26,h,3
d125,d125_27,h,3
d125,d125_28,h,3
d125,d125_29,o,40
d125,d125_30,o,40
d126,d126_1,c,22
d126,d126_2,c,22
d126,d126_3,c,22
d126,d126_4,c,22
d126,d126_5,c,22
d126,d126_6,c,22
d126,d126_7,h,3
d126,d126_8,h,3
d126,d126_9,h,3
d126,d126_10,n,32
d126,d126_11,c,22
d126,d126_12,c,22
d126,d126_13,n,32
d126,d126_14,c,22
d126,d126_15,c,22
d126,d126_16,c,22
d126,d126_17,c,22
d126,d126_18,h,3
d126,d126_19,h,3
d126,d126_20,h,3
d126,d126_21,h,1
d126,d126_22,h,1
d126,d126_23,n,38
d126,d126_24,n,38
d126,d126_25,o,40
d126,d126_26,o,40
d126,d126_27,o,40
d126,d126_28,o,40
d127,d127_1,c,22
d127,d127_2,c,22
d127,d127_3,c,22
d127,d127_4,c,29
d127,d127_5,c,22
d127,d127_6,c,22
d127,d127_7,h,3
d127,d127_8,h,3
d127,d127_9,h,3
d127,d127_10,h,3
d127,d127_11,c,29
d127,d127_12,c,22
d127,d127_13,c,22
d127,d127_14,c,22
d127,d127_15,c,22
d127,d127_16,c,22
d127,d127_17,h,3
d127,d127_18,h,3
d127,d127_19,h,3
d127,d127_20,n,38
d127,d127_21,n,38
d127,d127_22,n,38
d127,d127_23,o,40
d127,d127_24,o,40
d127,d127_25,o,40
d127,d127_26,o,40
d127,d127_27,o,40
d127,d127_28,o,40
d129,d129_1,c,22
d129,d129_2,c,22
d129,d129_3,c,22
d129,d129_4,c,22
d129,d129_5,c,22
d129,d129_6,c,22
d129,d129_7,h,3
d129,d129_8,h,3
d129,d129_9,h,3
d129,d129_10,n,32
d129,d129_11,n,36
d129,d129_12,h,1
d129,d129_13,h,1
d129,d129_14,h,1
d129,d129_15,n,38
d129,d129_16,n,38
d129,d129_17,o,40
d129,d129_18,o,40
d129,d129_19,o,40
d129,d129_20,o,40
d130,d130_1,c,22
d130,d130_2,c,22
d130,d130_3,c,22
d130,d130_4,c,22
d130,d130_5,c,22
d130,d130_6,c,22
d130,d130_7,h,3
d130,d130_8,h,3
d130,d130_9,h,3
d130,d130_10,h,3
d130,d130_11,o,50
d130,d130_12,c,10
d130,d130_13,h,3
d130,d130_14,h,3
d130,d130_15,h,3
d130,d130_16,n,38
d130,d130_17,o,40
d130,d130_18,o,40
d131,d131_1,c,22
d131,d131_2,c,22
d131,d131_3,c,22
d131,d131_4,c,22
d131,d131_5,c,22
d131,d131_6,c,22
d131,d131_7,h,3
d131,d131_8,h,3
d131,d131_9,h,3
d131,d131_10,h,3
d131,d131_11,c,16
d131,d131_12,c,16
d131,d131_13,h,3
d131,d131_14,o,50
d131,d131_15,h,3
d131,d131_16,c,22
d131,d131_17,c,22
d131,d131_18,c,22
d131,d131_19,c,22
d131,d131_20,c,22
d131,d131_21,c,22
d131,d131_22,h,3
d131,d131_23,h,3
d131,d131_24,h,3
d131,d131_25,h,3
d131,d131_26,h,3
d131,d131_27,n,38
d131,d131_28,o,40
d131,d131_29,o,40
d132,d132_1,c,22
d132,d132_2,c,22
d132,d132_3,c,22
d132,d132_4,c,22
d132,d132_5,c,22
d132,d132_6,c,22
d132,d132_7,h,3
d132,d132_8,h,3
d132,d132_9,h,3
d132,d132_10,h,3
d132,d132_11,c,14
d132,d132_12,o,41
d132,d132_13,h,3
d132,d132_14,n,38
d132,d132_15,o,40
d132,d132_16,o,40
d133,d133_1,c,22
d133,d133_2,c,22
d133,d133_3,c,22
d133,d133_4,c,22
d133,d133_5,c,22
d133,d133_6,c,22
d133,d133_7,h,3
d133,d133_8,h,3
d133,d133_9,o,50
d133,d133_10,c,22
d133,d133_11,c,22
d133,d133_12,o,50
d133,d133_13,c,22
d133,d133_14,c,22
d133,d133_15,c,22
d133,d133_16,c,22
d133,d133_17,h,3
d133,d133_18,n,38
d133,d133_19,cl,93
d133,d133_20,cl,93
d133,d133_21,cl,93
d133,d133_22,cl,93
d133,d133_23,o,40
d133,d133_24,o,40
d134,d134_1,c,22
d134,d134_2,c,22
d134,d134_3,c,22
d134,d134_4,c,195
d134,d134_5,c,195
d134,d134_6,c,22
d134,d134_7,c,10
d134,d134_8,c,10
d134,d134_9,c,22
d134,d134_10,c,27
d134,d134_11,c,27
d134,d134_12,c,22
d134,d134_13,c,22
d134,d134_14,c,22
d134,d134_15,c,22
d134,d134_16,c,22
d134,d134_17,h,3
d134,d134_18,h,3
d134,d134_19,h,3
d134,d134_20,h,3
d134,d134_21,h,3
d134,d134_22,h,3
d134,d134_23,h,3
d134,d134_24,h,3
d134,d134_25,h,3
d134,d134_26,h,3
d134,d134_27,n,38
d134,d134_28,n,38
d134,d134_29,o,40
d134,d134_30,o,40
d134,d134_31,o,40
d134,d134_32,o,40
d135,d135_1,c,22
d135,d135_2,c,22
d135,d135_3,c,22
d135,d135_4,c,22
d135,d135_5,c,22
d135,d135_6,c,22
d135,d135_7,h,3
d135,d135_8,h,3
d135,d135_9,h,3
d135,d135_10,n,38
d135,d135_11,o,40
d135,d135_12,o,40
d135,d135_13,cl,93
d135,d135_14,f,92
d136,d136_1,c,22
d136,d136_2,c,22
d136,d136_3,c,27
d136,d136_4,c,27
d136,d136_5,c,27
d136,d136_6,c,22
d136,d136_7,h,3
d136,d136_8,h,3
d136,d136_9,h,3
d136,d136_10,c,22
d136,d136_11,c,22
d136,d136_12,c,27
d136,d136_13,c,27
d136,d136_14,h,3
d136,d136_15,h,3
d136,d136_16,c,27
d136,d136_17,c,22
d136,d136_18,c,22
d136,d136_19,h,3
d136,d136_20,h,3
d136,d136_21,c,22
d136,d136_22,c,22
d136,d136_23,c,22
d136,d136_24,h,3
d136,d136_25,o,45
d136,d136_26,n,38
d136,d136_27,o,40
d136,d136_28,o,40
d136,d136_29,h,8
d138,d138_1,c,22
d138,d138_2,c,22
d138,d138_3,c,26
d138,d138_4,c,26
d138,d138_5,c,22
d138,d138_6,c,22
d138,d138_7,n,34
d138,d138_8,n,34
d138,d138_9,c,21
d138,d138_10,c,10
d138,d138_11,n,38
d138,d138_12,o,40
d138,d138_13,o,40
d138,d138_14,h,3
d138,d138_15,h,3
d138,d138_16,h,3
d138,d138_17,h,3
d138,d138_18,h,3
d138,d138_19,h,3
d138,d138_20,h,3
d138,d138_21,h,1
d14,d14_1,c,22
d14,d14_2,c,22
d14,d14_3,c,26
d14,d14_4,c,26
d14,d14_5,c,22
d14,d14_6,c,22
d14,d14_7,c,21
d14,d14_8,n,34
d14,d14_9,n,34
d14,d14_10,c,10
d14,d14_11,n,38
d14,d14_12,o,40
d14,d14_13,o,40
d14,d14_14,h,3
d14,d14_15,h,3
d14,d14_16,h,3
d14,d14_17,h,3
d14,d14_18,h,3
d14,d14_19,h,3
d14,d14_20,h,3
d142,d142_1,c,22
d142,d142_2,c,22
d142,d142_3,c,22
d142,d142_4,c,22
d142,d142_5,c,22
d142,d142_6,c,22
d142,d142_7,h,3
d142,d142_8,h,3
d142,d142_9,o,50
d142,d142_10,c,22
d142,d142_11,c,22
d142,d142_12,o,50
d142,d142_13,c,22
d142,d142_14,c,22
d142,d142_15,c,22
d142,d142_16,c,22
d142,d142_17,h,3
d142,d142_18,h,3
d142,d142_19,n,38
d142,d142_20,o,40
d142,d142_21,o,40
d142,d142_22,cl,93
d142,d142_23,cl,93
d142,d142_24,cl,93
d143,d143_1,c,22
d143,d143_2,c,22
d143,d143_3,c,22
d143,d143_4,c,22
d143,d143_5,c,22
d143,d143_6,c,22
d143,d143_7,h,3
d143,d143_8,h,3
d143,d143_9,h,3
d143,d143_10,h,3
d143,d143_11,o,50
d143,d143_12,c,22
d143,d143_13,c,22
d143,d143_14,c,22
d143,d143_15,c,22
d143,d143_16,c,22
d143,d143_17,c,22
d143,d143_18,h,3
d143,d143_19,h,3
d143,d143_20,h,3
d143,d143_21,h,3
d143,d143_22,h,3
d143,d143_23,n,38
d143,d143_24,o,40
d143,d143_25,o,40
d144,d144_1,c,22
d144,d144_2,c,22
d144,d144_3,c,22
d144,d144_4,c,22
d144,d144_5,c,22
d144,d144_6,c,22
d144,d144_7,h,3
d144,d144_8,h,3
d144,d144_9,h,3
d144,d144_10,n,38
d144,d144_11,cl,93
d144,d144_12,cl,93
d144,d144_13,o,40
d144,d144_14,o,40
d146,d146_1,c,22
d146,d146_2,c,22
d146,d146_3,c,22
d146,d146_4,c,29
d146,d146_5,c,22
d146,d146_6,c,22
d146,d146_7,h,3
d146,d146_8,h,3
d146,d146_9,h,3
d146,d146_10,h,3
d146,d146_11,c,29
d146,d146_12,c,22
d146,d146_13,c,22
d146,d146_14,c,22
d146,d146_15,c,22
d146,d146_16,c,22
d146,d146_17,h,3
d146,d146_18,h,3
d146,d146_19,h,3
d146,d146_20,n,38
d146,d146_21,o,40
d146,d146_22,o,40
d146,d146_23,h,3
d146,d146_24,n,32
d146,d146_25,h,1
d146,d146_26,h,1
d147,d147_1,c,22
d147,d147_2,c,22
d147,d147_3,c,26
d147,d147_4,c,26
d147,d147_5,c,22
d147,d147_6,c,22
d147,d147_7,n,34
d147,d147_8,c,21
d147,d147_9,n,34
d147,d147_10,c,10
d147,d147_11,n,38
d147,d147_12,o,40
d147,d147_13,o,40
d147,d147_14,h,3
d147,d147_15,h,3
d147,d147_16,h,3
d147,d147_17,h,3
d147,d147_18,h,3
d147,d147_19,h,3
d148,d148_1,c,22
d148,d148_2,c,22
d148,d148_3,c,27
d148,d148_4,c,27
d148,d148_5,c,26
d148,d148_6,c,22
d148,d148_7,c,22
d148,d148_8,c,22
d148,d148_9,c,22
d148,d148_10,c,26
d148,d148_11,c,21
d148,d148_12,c,21
d148,d148_13,h,3
d148,d148_14,h,3
d148,d148_15,h,3
d148,d148_16,h,3
d148,d148_17,h,3
d148,d148_18,h,3
d148,d148_19,h,3
d148,d148_20,n,38
d148,d148_21,o,40
d148,d148_22,o,40
d149,d149_1,c,22
d149,d149_2,c,22
d149,d149_3,c,22
d149,d149_4,c,22
d149,d149_5,c,22
d149,d149_6,c,22
d149,d149_7,h,3
d149,d149_8,h,3
d149,d149_9,h,3
d149,d149_10,n,32
d149,d149_11,c,22
d149,d149_12,c,22
d149,d149_13,n,32
d149,d149_14,c,22
d149,d149_15,c,22
d149,d149_16,c,22
d149,d149_17,c,22
d149,d149_18,h,3
d149,d149_19,h,3
d149,d149_20,h,3
d149,d149_21,h,1
d149,d149_22,h,1
d149,d149_23,n,38
d149,d149_24,n,38
d149,d149_25,o,40
d149,d149_26,o,40
d149,d149_27,o,40
d149,d149_28,o,40
d15,d15_1,c,22
d15,d15_2,c,22
d15,d15_3,c,27
d15,d15_4,c,27
d15,d15_5,c,27
d15,d15_6,c,22
d15,d15_7,h,3
d15,d15_8,h,3
d15,d15_9,h,3
d15,d15_10,c,27
d15,d15_11,c,27
d15,d15_12,c,22
d15,d15_13,c,22
d15,d15_14,h,3
d15,d15_15,h,3
d15,d15_16,c,22
d15,d15_17,c,22
d15,d15_18,c,27
d15,d15_19,h,3
d15,d15_20,h,3
d15,d15_21,c,22
d15,d15_22,c,22
d15,d15_23,c,22
d15,d15_24,h,3
d15,d15_25,h,3
d15,d15_26,n,38
d15,d15_27,o,40
d15,d15_28,o,40
d150,d150_1,c,21
d150,d150_2,c,21
d150,d150_3,n,34
d150,d150_4,c,21
