id,atom_id_1,atom_id_2,atom_id_3,atom_id_4,atom_id_5,atom_id_6
d190,d190_6,d190_1,d190_2,d190_3,d190_4,d190_5
d191,d191_6,d191_1,d191_2,d191_3,d191_4,d191_5
d191,d191_9,d191_10,d191_5,d191_4,d191_7,d191_8
d191,d191_8,d191_14,d191_13,d191_12,d191_11,d191_7
d191,d191_7,d191_11,d191_16,d191_15,d191_3,d191_4
d194,d194_6,d194_1,d194_2,d194_3,d194_4,d194_5
d197,d197_6,d197_1,d197_2,d197_3,d197_4,d197_5
e1,e1_6,e1_1,e1_2,e1_3,e1_4,e1_5
e1,e1_4,e1_14,e1_13,e1_12,e1_11,e1_3
e1,e1_18,e1_13,e1_12,e1_15,e1_16,e1_17
e1,e1_23,e1_14,e1_13,e1_18,e1_21,e1_22
e1,e1_28,e1_21,e1_18,e1_17,e1_26,e1_27
e2,e2_6,e2_1,e2_2,e2_3,e2_4,e2_5
e2,e2_9,e2_10,e2_4,e2_3,e2_7,e2_8
e2,e2_9,e2_10,e2_17,e2_16,e2_15,e2_14
e2,e2_20,e2_15,e2_14,e2_13,e2_18,e2_19
e27,e27_6,e27_1,e27_2,e27_3,e27_4,e27_5
e27,e27_5,e27_13,e27_12,e27_11,e27_10,e27_4
e27,e27_29,e27_20,e27_18,e27_17,e27_27,e27_28
e27,e27_23,e27_19,e27_18,e27_20,e27_21,e27_22
d189,d189_6,d189_1,d189_2,d189_3,d189_4,d189_5
d189,d189_9,d189_10,d189_11,d189_12,d189_4,d189_3
d192,d192_6,d192_1,d192_2,d192_3,d192_4,d192_5
d192,d192_4,d192_14,d192_13,d192_12,d192_11,d192_3
d192,d192_19,d192_14,d192_13,d192_16,d192_17,d192_18
d192,d192_25,d192_17,d192_16,d192_22,d192_23,d192_24
d193,d193_6,d193_1,d193_2,d193_3,d193_4,d193_5
d193,d193_4,d193_14,d193_13,d193_12,d193_11,d193_3
d193,d193_19,d193_14,d193_13,d193_16,d193_17,d193_18
d193,d193_25,d193_17,d193_16,d193_22,d193_23,d193_24
d195,d195_6,d195_1,d195_2,d195_3,d195_4,d195_5
d196,d196_6,d196_1,d196_2,d196_3,d196_4,d196_5
d196,d196_16,d196_11,d196_12,d196_13,d196_14,d196_15
e3,e3_6,e3_1,e3_2,e3_3,e3_4,e3_5
e4,e4_6,e4_1,e4_2,e4_3,e4_4,e4_5
e5,e5_6,e5_1,e5_2,e5_3,e5_4,e5_5
e6,e6_6,e6_1,e6_2,e6_3,e6_4,e6_5
e7,e7_6,e7_1,e7_2,e7_3,e7_4,e7_5
e8,e8_6,e8_1,e8_2,e8_3,e8_4,e8_5
e9,e9_6,e9_1,e9_2,e9_3,e9_4,e9_5
e10,e10_6,e10_1,e10_2,e10_3,e10_4,e10_5
e11,e11_6,e11_1,e11_2,e11_3,e11_4,e11_5
e12,e12_6,e12_1,e12_2,e12_3,e12_4,e12_5
e13,e13_6,e13_1,e13_2,e13_3,e13_4,e13_5
e14,e14_6,e14_1,e14_2,e14_3,e14_4,e14_5
e15,e15_6,e15_1,e15_2,e15_3,e15_4,e15_5
e15,e15_4,e15_14,e15_13,e15_12,e15_11,e15_3
e15,e15_19,e15_13,e15_12,e15_16,e15_17,e15_18
e15,e15_25,e15_19,e15_18,e15_22,e15_23,e15_24
e16,e16_6,e16_1,e16_2,e16_3,e16_4,e16_5
e17,e17_6,e17_1,e17_2,e17_3,e17_4,e17_5
e17,e17_4,e17_14,e17_13,e17_12,e17_11,e17_3
e17,e17_19,e17_13,e17_12,e17_16,e17_17,e17_18
e18,e18_6,e18_1,e18_2,e18_3,e18_4,e18_5
e19,e19_6,e19_1,e19_2,e19_3,e19_4,e19_5
e19,e19_9,e19_10,e19_4,e19_3,e19_7,e19_8
e20,e20_6,e20_1,e20_2,e20_3,e20_4,e20_5
e20,e20_9,e20_10,e20_4,e20_3,e20_7,e20_8
e21,e21_9,e21_10,e21_4,e21_3,e21_7,e21_8
e21,e21_9,e21_10,e21_17,e21_16,e21_15,e21_14
e21,e21_9,e21_14,e21_13,e21_12,e21_11,e21_8
e21,e21_20,e21_15,e21_14,e21_13,e21_18,e21_19
e22,e22_9,e22_10,e22_4,e22_3,e22_7,e22_8
e22,e22_9,e22_14,e22_13,e22_12,e22_11,e22_8
e22,e22_18,e22_14,e22_13,e22_15,e22_16,e22_17
e23,e23_6,e23_1,e23_2,e23_3,e23_4,e23_5
e23,e23_9,e23_10,e23_4,e23_3,e23_7,e23_8
e23,e23_9,e23_14,e23_13,e23_12,e23_11,e23_8
e24,e24_6,e24_1,e24_17,e24_16,e24_15,e24_14
e24,e24_3,e24_2,e24_22,e24_23,e24_24,e24_25
e24,e24_9,e24_10,e24_5,e24_4,e24_7,e24_8
e25,e25_9,e25_10,e25_4,e25_3,e25_7,e25_8
e25,e25_9,e25_10,e25_17,e25_16,e25_15,e25_14
e25,e25_9,e25_14,e25_13,e25_12,e25_11,e25_8
e25,e25_20,e25_15,e25_14,e25_13,e25_18,e25_19
e26,e26_6,e26_1,e26_2,e26_3,e26_4,e26_5
e26,e26_9,e26_10,e26_4,e26_3,e26_7,e26_8
e26,e26_9,e26_14,e26_13,e26_12,e26_11,e26_8
e26,e26_18,e26_14,e26_13,e26_15,e26_16,e26_17
